10.1016/j.dendro.2024.126268,"at Lund University, as well as utilizing information from the database Old Wood in a New Light",Dendrochronologia,Exploring the potential for a 9000-year tree-ring chronology consisting of subfossil oak material from southern Scandinavia,Old Wood in a New Light
10.1007/s00334-011-0283-5,this article is a part is carried out in close corroboration with The Strategic Environmental Archaeology,Vegetation History and Archaeobotany,Changes in cereal cultivation during the Iron Age in southern Sweden: a compilation and interpretation of the archaeobotanical material,Strategic Environmental Archaeology Database
10.1111/jbi.12593,for details). subsequently conﬁrmed with prototype software from the Strategic Environmental Archaeology,Journal of Biogeography,Predicting island beetle faunas by their climate ranges: the tabula rasa /refugia theory in the North Atlantic,Strategic Environmental Archaeology Database
10.1080/01972243.2016.1177763,"archives, for instance, the Swedish National Data Service (SNDS) and the Strategic Environmental Archaeological",The Information Society,"Awkwardness of becoming a boundary object: Mangle and materialities of reports, documentation data, and the archaeological work",Strategic Environmental Archaeology Database
10.1016/j.quaint.2014.06.056,"to create an online version of the programme, implemented through the Strategic Environmental Archaeology",Quaternary International,G. Russell Coope: Papers honouring his life and career,Strategic Environmental Archaeology Database
10.1016/j.quaint.2014.01.030,"underway to create an online version of BugsCEP, implemented through the Strategic Environmental Archaeology",Quaternary International,The Bugs Coleopteran Ecology Package (BugsCEP) database: 1000 sites and half a million fossils later,Strategic Environmental Archaeology Database
10.1111/jbi.12593,"software from the Strategic Environmental Archaeology Database (SEAD; http://www.sead.se; Buckland et al., 2010). RESULTS Miocene climates The large",Journal of Biogeography,Predicting island beetle faunas by their climate ranges: the tabula rasa /refugia theory in the North Atlantic,www.sead.se
10.1016/j.quaint.2014.06.056,"the Strategic Environmental Archaeology Database (SEAD) project (http://www.sead.se). Along similar lines to the BUGS database, Kuzmina reviewed",Quaternary International,G. Russell Coope: Papers honouring his life and career,www.sead.se
10.1016/j.quaint.2014.01.030,the Strategic Environmental Archaeology Database (SEAD) project (http://www.sead.se). The aim is to provide more direct access to the latest,Quaternary International,The Bugs Coleopteran Ecology Package (BugsCEP) database: 1000 sites and half a million fossils later,www.sead.se
