10.1016/B978-85-352-8444-7.50009-3,surveys. Sedimentological data was obtained from the Brazilian Navy’s National Oceanographic Database,Geology and Geomorphology,2 Continental shelf geomorphology and sedimentology,National Oceanographic Database
10.1016/B978-85-352-8444-7.50007-X,Hydrographic Center NOAA – National Oceanic and Atmospheric Administration NOD – National Oceanographic Database,Geology and Geomorphology,List of acronyms,National Oceanographic Database
10.1016/j.csr.2023.104984,"the Oceanographic Institute of the University of São Paulo, and at the National Oceanographic Database",Continental Shelf Research,An inventory of salty and warm subsurface intrusions in the South Brazil Bight,National Oceanographic Database
10.1016/j.rsase.2018.10.001,"Institute; FEEMA, State Foundation for Environmental Engineering; BNDO, National Oceanographic Database;",Remote Sensing Applications: Society and Environment,Mangrove spectra changes induced by oil spills monitored by image differencing of normalised indices: Tools to assist delimitation of impacted areas,National Oceanographic Database
10.1016/j.jembe.2013.09.019,surface water temperature Sea temperature data were obtained from the National Oceanographic Database,Journal of Experimental Marine Biology and Ecology,Density banding pattern of the south western Atlantic coral Mussismilia braziliensis,National Oceanographic Database
10.1029/2018JC014464,program are available from the British Oceanographic Data Centre (https://www.bodc.ac.uk/data/ bodc_database/,Journal of Geophysical Research: Oceans,Variability in Basal Melting Beneath Pine Island Ice Shelf on Weekly to Monthly Timescales,www.bodc.ac.uk/data/bodc_database/nodb
10.1029/2019JC015946,"providing us data from the AMT22, AMT23 and ACCACIA cruises (https://www.bodc.ac.uk/data/bodc_database/",Journal of Geophysical Research: Oceans,Sources and sinks of isoprene in the global open ocean: simulated patterns and emissions to the atmosphere,www.bodc.ac.uk/data/bodc_database/nodb
